Ref Number,Date,Description,Item Number,QTY,BAC
26560137,24/3/5,Stocks Bulb,,,1
26510353,24/100,,,1,1
26510353,1/12/2016,Hi Tech,1652,-1,
26510353,13/2,S,,1,
26510353,13/2,Hi Tech,1729,-1,
26510353,22/2,HOM,,1,
26510353,25/4,HiTech,1814,-1,
26510353,5/6/2024,H,,1,
26510353,24/71,Mo,,1,
FG500,8/12/2004,,,,4
FG900,8/R/14,Stock B/F,,,4
3057139,13/1/15,Stock B/F,,,12
3057139,10/1/2017,Afzal Poll,-2,,10
3057139,21/1/20,,2,,13
3057139,23/9/120,WAFVIS,-11,,2
3046430,13/1/15,Stock B/F,1061,,12
3046430,6/7/2015,FSL,1488,-5,7
3046430,13/7/15,AHAD ENG,1503,-4,3
3046430,25/7,Fair Auto,1590,-2,1
3046430,3/10/2016,Carcat INT,,-1,0
3046430,7/5/2020,Gen,,-1,1
3046430,7/5/2020,Khalid,,-1,0
3046420,3/1/2015,Stock B/F,,,41
3046420,8/3/2016,Fair Auto,1356,-1,40
3046420,23/4,Ali Auto,1382,-12,28
3046420,16/8,AHAD ENG,,-1,27
3046420,7/5/2020,KHALID,,-1,26
3017961,13/1/15,Stock B/F,,,123
,26/3,Barkat,806,-5,123
,21/9/16,Jilani Pulse,426,-3,123
,10/1/2017,Afzal Poll,,-2,123
,11/4/2018,FAZAL,,-2,123
,22/6/18,Bhali,,-2,123
,21/1/20,,,2,123
,23/9/70,WAVFS,,-6,123
